DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2013,60252,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2014,60149,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2015,61017,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2016,60549,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2017,59557,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2018,60351,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2019,61950,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2020,63096,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2021,65390,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2022,66035,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2011,63309,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2012,63619,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2013,62942,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2014,62632,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2015,63870,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2016,63148,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2017,62537,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2018,63109,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2019,65303,
