"","ATCCode","DateUsedForStatisticsYear","Sector","ReportQuarter","TOTAL_VOLUME","TOTAL_VOLUME_UNIT","TOTAL_DDD"
"387","J01AA04",2015,"AC",3,413988624,"mg",689981.04
"388","J01AA04",2015,"AC",4,511595280,"mg",852658.8
"389","J01AA04",2015,"HC",1,1517454,"mg",2529.09
"390","J01AA04",2015,"HC",2,1619658,"mg",2699.43
"391","J01AA04",2015,"HC",3,1369350,"mg",2282.25
"392","J01AA04",2015,"HC",4,1510110,"mg",2516.85
"393","J01AA04",2016,"AC",1,535237380,"mg",892062.3
"394","J01AA04",2016,"AC",2,525595011,"mg",875991.685
"395","J01AA04",2016,"AC",3,397898085,"mg",663163.475
"396","J01AA04",2016,"AC",4,490115081.4,"mg",816858.469
"397","J01AA04",2016,"HC",1,1337745,"mg",2229.575
"398","J01AA04",2016,"HC",2,1425009,"mg",2375.015
"399","J01AA04",2016,"HC",3,1232604,"mg",2054.34
"400","J01AA04",2016,"HC",4,1309869,"mg",2183.115
"401","J01AA04",2017,"AC",1,529028607,"mg",881714.345
"402","J01AA04",2017,"AC",2,474857661,"mg",791429.435
"403","J01AA04",2017,"AC",3,395100183,"mg",658500.305
"404","J01AA04",2017,"AC",4,486335703,"mg",810559.505
"405","J01AA04",2017,"HC",1,1548330,"mg",2580.55
"406","J01AA04",2017,"HC",2,1448037,"mg",2413.395
"407","J01AA04",2017,"HC",3,1362894,"mg",2271.49
"408","J01AA04",2017,"HC",4,1025352,"mg",1708.92
"409","J01AA04",2018,"AC",1,507813456,"mg",846355.76
"410","J01AA04",2018,"AC",2,443014179,"mg",738356.965
"411","J01AA04",2018,"AC",3,344068923,"mg",573448.205
"412","J01AA04",2018,"AC",4,474812211,"mg",791353.685
"413","J01AA04",2018,"HC",1,1594689,"mg",2657.815
"414","J01AA04",2018,"HC",2,1222302,"mg",2037.17
"415","J01AA04",2018,"HC",3,1115949,"mg",1859.915
"416","J01AA04",2018,"HC",4,1206243,"mg",2010.405
"417","J01AA04",2019,"AC",1,511275837,"mg",852126.395
"418","J01AA04",2019,"AC",2,464935320,"mg",774892.2
"419","J01AA04",2019,"AC",3,386155623,"mg",643592.705
"420","J01AA04",2019,"AC",4,480518004,"mg",800863.34
"421","J01AA04",2019,"HC",1,1363197,"mg",2271.995
"422","J01AA04",2019,"HC",2,1529241,"mg",2548.735
"423","J01AA04",2019,"HC",3,928392,"mg",1547.32
"424","J01AA04",2019,"HC",4,1086861,"mg",1811.435
"425","J01AA04",2020,"AC",1,494619321,"mg",824365.535
"426","J01AA04",2020,"AC",2,368885532,"mg",614809.22
"427","J01AA04",2020,"AC",3,415451481,"mg",692419.135
"428","J01AA04",2020,"AC",4,520303419,"mg",867172.365
"429","J01AA04",2020,"HC",1,1168974,"mg",1948.29
"430","J01AA04",2020,"HC",2,788406,"mg",1314.01
"431","J01AA04",2020,"HC",3,1118070,"mg",1863.45
"432","J01AA04",2020,"HC",4,1346229,"mg",2243.715
